date,flashbots_unscaled,flashbots_monthly,isPartial,scale,flashbots
2019-01-01,0,,,,
2019-01-02,0,,,,
2019-01-03,0,,,,
2019-01-04,0,,,,
2019-01-05,78,,,,
2019-01-06,0,0.0,False,0.0,0.0
2019-01-07,0,0.0,,0.0,0.0
2019-01-08,0,0.0,,0.0,0.0
2019-01-09,55,0.0,,0.0,0.0
2019-01-10,0,0.0,,0.0,0.0
2019-01-11,0,0.0,,0.0,0.0
2019-01-12,0,0.0,,0.0,0.0
2019-01-13,38,16.0,False,0.16,6.08
2019-01-14,0,16.0,,0.16,0.0
2019-01-15,0,16.0,,0.16,0.0
2019-01-16,100,16.0,,0.16,16.0
2019-01-17,0,16.0,,0.16,0.0
2019-01-18,0,16.0,,0.16,0.0
2019-01-19,43,16.0,,0.16,6.88
2019-01-20,0,0.0,False,0.0,0.0
2019-01-21,0,0.0,,0.0,0.0
2019-01-22,0,0.0,,0.0,0.0
2019-01-23,0,0.0,,0.0,0.0
2019-01-24,44,0.0,,0.0,0.0
2019-01-25,0,0.0,,0.0,0.0
2019-01-26,0,0.0,,0.0,0.0
2019-01-27,0,100.0,False,1.0,0.0
2019-01-28,0,100.0,,1.0,0.0
2019-01-29,0,100.0,,1.0,0.0
2019-01-30,0,100.0,,1.0,0.0
2019-01-31,0,100.0,,1.0,0.0
2019-02-01,0,100.0,,1.0,0.0
2019-02-02,0,100.0,,1.0,0.0
2019-02-03,0,0.0,False,0.0,0.0
2019-02-04,0,0.0,,0.0,0.0
2019-02-05,0,0.0,,0.0,0.0
2019-02-06,0,0.0,,0.0,0.0
2019-02-07,0,0.0,,0.0,0.0
2019-02-08,19,0.0,,0.0,0.0
2019-02-09,0,0.0,,0.0,0.0
2019-02-10,0,0.0,False,0.0,0.0
2019-02-11,0,0.0,,0.0,0.0
2019-02-12,0,0.0,,0.0,0.0
2019-02-13,0,0.0,,0.0,0.0
2019-02-14,0,0.0,,0.0,0.0
2019-02-15,0,0.0,,0.0,0.0
2019-02-16,0,0.0,,0.0,0.0
2019-02-17,0,0.0,False,0.0,0.0
2019-02-18,0,0.0,,0.0,0.0
2019-02-19,69,0.0,,0.0,0.0
2019-02-20,0,0.0,,0.0,0.0
2019-02-21,0,0.0,,0.0,0.0
2019-02-22,0,0.0,,0.0,0.0
2019-02-23,0,0.0,,0.0,0.0
2019-02-24,0,0.0,False,0.0,0.0
2019-02-25,24,0.0,,0.0,0.0
2019-02-26,45,0.0,,0.0,0.0
2019-02-27,66,0.0,,0.0,0.0
2019-02-28,100,0.0,,0.0,0.0
2019-03-01,0,0.0,,0.0,0.0
2019-03-02,0,0.0,,0.0,0.0
2019-03-03,22,0.0,False,0.0,0.0
2019-03-04,36,0.0,,0.0,0.0
2019-03-05,0,0.0,,0.0,0.0
2019-03-06,100,0.0,,0.0,0.0
2019-03-07,35,0.0,,0.0,0.0
2019-03-08,53,0.0,,0.0,0.0
2019-03-09,0,0.0,,0.0,0.0
2019-03-10,0,0.0,False,0.0,0.0
2019-03-11,0,0.0,,0.0,0.0
2019-03-12,0,0.0,,0.0,0.0
2019-03-13,0,0.0,,0.0,0.0
2019-03-14,0,0.0,,0.0,0.0
2019-03-15,20,0.0,,0.0,0.0
2019-03-16,60,0.0,,0.0,0.0
2019-03-17,0,18.0,False,0.18,0.0
2019-03-18,94,18.0,,0.18,16.919999999999998
2019-03-19,0,18.0,,0.18,0.0
2019-03-20,0,18.0,,0.18,0.0
2019-03-21,0,18.0,,0.18,0.0
2019-03-22,0,18.0,,0.18,0.0
2019-03-23,0,18.0,,0.18,0.0
2019-03-24,0,0.0,False,0.0,0.0
2019-03-25,0,0.0,,0.0,0.0
2019-03-26,0,0.0,,0.0,0.0
2019-03-27,0,0.0,,0.0,0.0
2019-03-28,39,0.0,,0.0,0.0
2019-03-29,0,0.0,,0.0,0.0
2019-03-30,0,0.0,,0.0,0.0
2019-03-31,0,12.0,False,0.12,0.0
2019-04-01,29,12.0,,0.12,3.48
2019-04-02,0,12.0,,0.12,0.0
2019-04-03,38,12.0,,0.12,4.56
2019-04-04,0,12.0,,0.12,0.0
2019-04-05,26,12.0,,0.12,3.12
2019-04-06,65,12.0,,0.12,7.8
2019-04-07,100,16.0,False,0.16,16.0
2019-04-08,23,16.0,,0.16,3.68
2019-04-09,0,16.0,,0.16,0.0
2019-04-10,0,16.0,,0.16,0.0
2019-04-11,21,16.0,,0.16,3.36
2019-04-12,0,16.0,,0.16,0.0
2019-04-13,0,16.0,,0.16,0.0
2019-04-14,0,0.0,False,0.0,0.0
2019-04-15,0,0.0,,0.0,0.0
2019-04-16,0,0.0,,0.0,0.0
2019-04-17,0,0.0,,0.0,0.0
2019-04-18,0,0.0,,0.0,0.0
2019-04-19,35,0.0,,0.0,0.0
2019-04-20,0,0.0,,0.0,0.0
2019-04-21,0,0.0,False,0.0,0.0
2019-04-22,18,0.0,,0.0,0.0
2019-04-23,0,0.0,,0.0,0.0
2019-04-24,21,0.0,,0.0,0.0
2019-04-25,0,0.0,,0.0,0.0
2019-04-26,0,0.0,,0.0,0.0
2019-04-27,0,0.0,,0.0,0.0
2019-04-28,0,0.0,False,0.0,0.0
2019-04-29,0,0.0,,0.0,0.0
2019-04-30,0,0.0,,0.0,0.0
2019-05-01,28,0.0,,0.0,0.0
2019-05-02,0,0.0,,0.0,0.0
2019-05-03,100,0.0,,0.0,0.0
2019-05-04,0,0.0,,0.0,0.0
2019-05-05,0,34.0,False,0.34,0.0
2019-05-06,0,34.0,,0.34,0.0
2019-05-07,0,34.0,,0.34,0.0
2019-05-08,0,34.0,,0.34,0.0
2019-05-09,0,34.0,,0.34,0.0
2019-05-10,50,34.0,,0.34,17.0
2019-05-11,0,34.0,,0.34,0.0
2019-05-12,47,0.0,False,0.0,0.0
2019-05-13,0,0.0,,0.0,0.0
2019-05-14,35,0.0,,0.0,0.0
2019-05-15,0,0.0,,0.0,0.0
2019-05-16,0,0.0,,0.0,0.0
2019-05-17,37,0.0,,0.0,0.0
2019-05-18,0,0.0,,0.0,0.0
2019-05-19,69,0.0,False,0.0,0.0
